,name,keyword,additional_regex,category,subcategory,location,year,funding,website,summary
801,icertis,icertis,,Applications - Enterprise,Legal,United States,2009,$521.5M,https://www.icertis.com/,"Icertis is a cloud-based enterprise contract management platform that enables companies to accelerate their business by increasing contract velocity, protect against risk by ensuring regulatory and policy compliance and optimize commercial relationships by maximizing revenue and reducing costs. The company was founded in 2009 and is based in Bellevue, Washington."
1339,ICEYE,iceye,,Data Sources & APIs,Air/Space/Sea,Finland,2015,$300.73M,https://www.iceye.com/,"ICEYE provides quick-response imagery from space with microsatellites equipped with imaging radar technology. The ICEYE instrument can see through clouds, obscuring weather, and in the dark-all conditions that limit camera-based services in situations where waiting for daylight and improved weather is not an option.
"
364,iGenius,igenius,,Analytics,Data Analyst Platforms,Italy,2016,$34.08M,https://www.igenius.ai/,"iGenius has created an Augmented Intelligence that enables businesses to talk with client's data. Its product, Crystal, introduces a consumerized no-code user experience for decision intelligence. The ability to “talk with data” via a virtual advisor and receive data-driven responses makes technology as complex as AI accessible to anyone. The company was founded in 2016 and is based in Milan, Italy."
886,imagen,imagen,,Applications - Horizontal,Image,,,,https://imagen.research.google/,"
"
978,Imagen,imagen,,Applications - Industry,Healthcare,United States,2015,$109.32M,https://imagen.ai/,"Imagen is building a world without diagnostic errors. The company is beginning by applying the latest advances in computer vision and machine learning to medical imaging. Imagen Technologies is putting leading medical expertise in the hands of healthcare providers everywhere.
"
215,Immuta,immuta,,Infrastructure,Data Governance & Catalog,United States,2015,$259.5M,https://www.immuta.com/,"Immuta helps organizations unlock value from their cloud data by providing an integrated Data Security Platform for sensitive data discovery and classification, security and access control, and activity monitoring. The company was founded in 2015 and is based in Boston, Massachusetts"
110,Imply,imply,,Infrastructure,Real Time Databases,United States,2015,$215.3M,https://imply.io/,"Imply is a real-time analytics solution to store, query, and visualize event-driven data. It is built around Apache Druid, a widely-adopted open-source real-time analytics database architected to support streaming ingest and sub-second ad-hoc queries at scale. The company is based in Burlingame, California, and was founded in 2015."
183,import.io,import.io,,Infrastructure,Data Integration,United States,2012,$32.4M,https://www.import.io/,"Import.io is a cloud-based big data platform that specializes in the conversion of the web into a database. It allows companies, developers, and coders to extract, connect and fuse disparate sources of data from the web on sectors such as consumer goods and retail, travel, and hospitality, events and tickets, and marketplaces. It caters its solutions to analytics providers, brands, and retailers. The company was founded in 2012 and is based in Campbell, California."
294,In Country,in country,,Infrastructure,Privacy & Security,United States,2019,$40M,https://incountry.com/,"InCountry develops a product to help companies comply with laws on how user profile and registration information should be stored and maintained. Through the service, data is housed in private data centers or with public cloud operators that operate within the country of origin, therefore ensuring compliance with data residency laws. The company also provides software development kits in a range of popular programming languages, so that companies can easily access their customer data to build new apps and services.
"
359,Incorta,incorta,,Analytics,Data Analyst Platforms,United States,2013,$193.03M,https://www.incorta.com/,"Incorta is a cloud-based analytical warehouse solution engineered to quickly and easily analyze massive volumes of data from multiple sources. Users can securely access any amount of the latest and most relevant data from one source of truth, ensuring that all users are accessing, analyzing, and collaborating around consistent information.
"
1410,InData Labs,indata labs,,Data & AI Consulting,Data & AI Consulting,Belarus,2014,,https://indatalabs.com/,"InData Labs is a provider of AI services, specializing in data science, big data analytics, AI, computer vision, business intelligence, and machine learning. The company's solutions aim to help clients automate business processes, add AI-powered features, and gain competitive advantage.
"
620,Inflection,inflection,,Machine Learning & Artificial Intelligence,Horizontal AI/AGI,United States,2022,$225M,https://inflection.ai/,"Inflection is an AI-first company that redefines human-computer interaction by enabling users to speak to a computer in a conversational language. The company was founded in 2022 and is based in Palo Alto, California."
103,influxData,influxdata,,Infrastructure,NewSQL Databases,United States,2012,$200.12M,https://www.influxdata.com/,"InfluxData is a time series, metrics, and analytics database. It is targeted at use cases for DevOps, metrics, sensor data, and analytics. It offers an open-source server agent named Telegraf that helps customers collect metrics from your stacks, sensors, and systems. The company was founded in 2012 and is based in San Francisco, California."
1145,InfluxDB,influxdb,,Open Source Infrastructure,Databases,,,,https://github.com/influxdata/influxdb,"Scalable datastore for metrics, events, and real-time analytics
"
353,Infogram,infogram,,Analytics,Analytics - Visualization,United States,,,https://infogram.com/,"Infogram is a data visualization platform solution company. The company offers infographics, data visualization, graphs, charts, data storytelling, maps, reports, presentation, data storytelling, and visual communication. It is based in San Francisco, California.
"
334,InforBirst,inforbirst,,Analytics,BI Platforms,United States,2002,$4133M,https://www.infor.com/solutions/advanced-analytics/business-intelligence/birst,"Infor Global Solutions provides business applications to mid-sized companies. The company offers numerous products for human capital management, enterprise resource planning, and customer relationship management. The company offers, Infor ERP, solutions that deliver functionality and usability specifically for the manufacturing and distribution industries. On February 4th, 2020, Infor was acquired by Koch Equity Development at a valuation of $11 billion."
186,Informatica,informatica,,Infrastructure,Data Integration,United States,1993,$18.6M,https://www.informatica.com/,"Informatica Corporation (NYSE: INFA) is a provider of enterprise data integration software and services. With Informatica, companies can gain greater business value by integrating all their information assets from across the enterprise. More than 2,900 companies worldwide rely on Informatica to reduce the cost and expedite the time to address data integration needs of any complexity and scale."
220,Informatica,informatica,,Infrastructure,Data Governance & Catalog,United States,1993,$18.6M,https://www.informatica.com/,"Informatica Corporation (NYSE: INFA) is a provider of enterprise data integration software and services. With Informatica, companies can gain greater business value by integrating all their information assets from across the enterprise. More than 2,900 companies worldwide rely on Informatica to reduce the cost and expedite the time to address data integration needs of any complexity and scale."
810,Infosum,infosum,,Applications - Enterprise,Partnerships,United Kingdom,2015,$93.21M,https://www.infosum.com/,"InfoSum provides data management and software services. It enables companies to understand a broader perspective of their customers' lives by joining siloed data sets and collaborating without the commercial and regulatory risks associated with centralized platforms. It offers customers across financial services, content distribution, connected television, eCommerce, gaming, and entertainment and compliantly connects their customer data to other partners through privacy-safe, data networks. InfoSum was founded in 2015 and is based in Basingstoke, U.K."
200,InfoWorks,infoworks,,Infrastructure,Data Integration,United States,2014,$85.72M,https://www.infoworks.io/,"InfoWorkshas developed a Dynamic Data Warehousing (DDW) platform on Hadoop. The Infoworks DDW platform provides a high-performance and shared data repository that supports all enterprise analytics on Hadoop through software automation and intelligent data organization.
"
1002,Innovaccer,innovaccer,,Applications - Industry,Healthcare,United States,2014,$375.68M,https://innovaccer.com/,"Innovaccer is a healthcare technology company developing a data activation platform that develops a patient-centered, connected care delivery continuum. Its smart platform creates a unified patient record for the healthcare providers and payer-use to enable collaborative care delivery. The platform includes a proprietary integration and analysis engine to clean and aggregate healthcare data from sources, including electronic health records (EHRs), claims, pharmacies, hospitals, and labs. The company was founded in 2014 and is based in San Francisco, California."
391,Insider,insider,,Analytics,Customer Data Platforms,Turkey,2012,$166.2M,https://useinsider.com/,"Insider is a multi-channel digital experience platform for marketers. Accessible from a unified data engine, Insider enables marketers to leverage personalization, predictive segmentation, and real-time technologies to boost loyalty and digital growth.
"
1007,Insilico Medicine,insilico medicine,,Applications - Industry,Life Sciences,Hong Kong,2014,$402M,https://insilico.com/,"Insilico Medicine develops a range of Generative Adversarial Networks (GANs) and reinforcement learning approaches to identify protein targets, generate molecular structures with specified properties, and generate synthetic data. The company provides pharmaceutical and biotechnology companies with artificial intelligence solutions for research and development. It was founded in 2014 and is based in Hong Kong."
1025,Insitro,insitro,,Applications - Industry,Life Sciences,United States,2018,$643M,https://insitro.com/,"insitro is a data-driven drug discovery and development company that leverages machine learning and high-throughput biology to transform the way medicines are created to help patients.
"
779,Instabase,instabase,,Applications - Enterprise,Automation & Operations,United States,2015,$131.94M,https://instabase.com/,"Instabase is a platform for businesses to build customizable apps for automating different parts of their business. For example, a bank can quickly build an app that can automatically verify customer income in a fraction of a second by combing through documents such as camera pictures or scans of paystubs, tax documents, bank statements, and other similar documents submitted by the customer. The platform comes equipped with the tools for reading documents, data extraction and classification, natural language processing, and optical character recognition. It is designed to enable creators, developers, and organizations to quickly build complex business applications based on their needs.
"
604,Institute for Ethical AI & Machine Learning,institute for ethical ai & machine learning,,Machine Learning & Artificial Intelligence,Horizontal AI/AGI,,,,https://ethical.institute/,"
"
1091,Instrumental,instrumental,,Applications - Industry,Industrial & Logistics,United States,2015,$80M,https://instrumental.com/,"Instrumental offers a testing platform to manufacturers of electronics, to head off complicated problems before they start costing companies thousands of dollars per minute.
"
162,Integrate.io,integrate.io,,Infrastructure,ETL/ELT/Data Transformation,United States,2012,,https://www.integrate.io/,"Integrate.io is a data warehouse integration platform that provides a complete integration layer for turning a data warehouse into a data platform. It offers data analytics that requires no coding or deployment. It provides data security, data ingestion, reverse ETL, business intelligence, and more. It serves the e-commerce, media, travel, and healthcare industries. It was founded in 2012 and is based in San Francisco, California."
657,Intel AI,intel ai,,Machine Learning & Artificial Intelligence,AI Hardware,United States,1968,,https://www.intel.com/content/www/us/en/artificial-intelligence/software.html,"Intel (NASDAQ: INTC) designs, manufactures and sells computer components and related products. The company's major products include microprocessors, chipsets, embedded processors and microcontrollers, flash memory, graphic, network and communication, systems management software, conferencing, and digital imaging products. The company was founded in 1968 and is based in Santa Clara, California."
650,Intellifusion,intellifusion,,Machine Learning & Artificial Intelligence,AI Hardware,China,2014,$287.85M,https://www.intellif.com/,"Intellifusion produces an artificial intelligence chip to perform visual recognition and big data analysis.
"
739,Intercom,intercom,,Applications - Enterprise,Customer Experience,United States,2011,$240.25M,https://www.intercom.com/,"Intercom is a fundamentally new way for internet businesses to communicate with customers, personally, at scale. It's a customer communication platform with a suite of integrated products for every team-including sales, marketing, product, and support. Intercom's products enable communication with customers on your website, inside your web and mobile apps, and by email.
"
1320,International Monetary Fund,international monetary fund,,Data Sources & APIs,Financial & Market Data,United States,1945,,https://www.imf.org/en/Home,"The International Monetary Fund (IMF) is an organization of 189 countries, working to foster global monetary cooperation, secure financial stability, facilitate international trade, promote high employment and sustainable economic growth, and reduce poverty around the world."
1312,Intrinio,intrinio,,Data Sources & APIs,Financial & Market Data,United States,2010,$7.33M,https://intrinio.com/,"Intrinio makes financial data affordable and easy to access so investors can save money and make time to build something meaningful. The Intrinio Excel add-in and Google Sheets add-on allow users to pull financial data into spreadsheets. Users have the flexibility to customize the data feeds to fit their needs.
"
607,Intrinsic,intrinsic,,Machine Learning & Artificial Intelligence,Horizontal AI/AGI,United States,2021,,https://intrinsic.ai/,"Intrinsic is a robotics software and AI company that aims to make industrial robotics accessible and usable for businesses, entrepreneurs, and developers. It focuses on advances in AI, perception and simulation of robotics with software and data and by providing access to intelligent capabilities. The company was founded in 2021 and is based in Mountain View, California."
717,Invoca,invoca,,Applications - Enterprise,Marketing,United States,2008,$203.25M,https://www.invoca.com/,Invoca is an AI-powered call tracking and conversational analytics company that brings the depth of marketing analytics traditionally limited to digital consumer interactions to the world of human-to-human selling. Marketers use Invoca to maximize the return of their paid media campaigns on Google and Facebook and improve the buying experience by enriching customer profiles in Salesforce and Adobe. It was founded in 2008 and is based in Santa Barbara California.
702,Involve AI,involve ai,,Applications - Enterprise,Sales,United States,2016,$18.62M,https://www.involve.ai/,"Involve AI offers a customer data platform to help businesses identify risks and increase customer retention.
"
927,Inworld,inworld,,Applications - Horizontal,Animation & 3D,United States,2021,$67.12M,https://www.inworld.ai/,"Inworld AI aims to provide a developer platform to create AI-powered virtual humans for immersive realities, including the metaverse, VR/AR, games, and virtual worlds. It provides the ability for partners and creators to utilize the platform to construct and deploy virtual avatars. The company was founded in 2021 and is based in Mountain View, California."
1065,Iron Ox,iron ox,,Applications - Industry,Agriculture,United States,2015,$96.32M,https://ironox.com/,"Iron Ox grows fresh and sustainable produce from robotic greenhouses. Iron Ox grows produce in proprietary greenhouses designed, per the company, to reduce the environmental impact of agriculture using a data-driven approach with robotics and artificial intelligence.
"
802,Ironclad,ironclad,,Applications - Enterprise,Legal,United States,2014,$331.12M,https://ironcladapp.com/,"Ironclad is a contract management software solution that aims to offer an automated assistant that manages legal paperwork for companies. It is one organized Dropbox folder for all legal documents, along with automated templates for NDAs, sales contracts, and contractors.
"
1374,ISS ESG,iss esg,,Data Sources & APIs,ESG,United States,1985,$260M,https://www.issgovernance.com/esg/,"International Shareholder Services (ISS) provides proxy advisory and corporate governance solutions to financial market participants. ISS's services include objective proxy research and analysis, end-to-end proxy voting and distribution solutions, securities class-action claims management, and governance data and modeling tools. Clients use ISS services to help them make informed corporate governance decisions. On November 17th, 2020, Deutsche Borse acquired a majority stake in International Shareholder Services at a valuation of $1.82B."
531,Iterative,iterative,,Machine Learning & Artificial Intelligence,MLOps,United States,2018,$23.85M,https://iterative.ai/,"Iterative offers DVC.org as an open source tool for data and models versioning for ML projects.
"
993,Iterative Health,iterative health,,Applications - Industry,Healthcare,United States,2017,$185.2M,https://iterative.health/,"Iterative Health uses artificial intelligence-based precision medicine in Gastroenterology (GI), with the aim of helping to optimize clinical trials investigating the treatment of Inflammatory Bowel Disease (IBD). It offers advanced machine learning and computer vision to interpret endoscopic images along with other types of data, helping clinicians better assess patients with potential GI problems. The company was formerly known as Iterative Scopes, Inc and changed its name to Iterative Health, Inc. It was founded in 2017 and is based in Cambridge, Massachusetts."
1385,itrex,itrex,,Data & AI Consulting,Data & AI Consulting,United States,2009,,https://itrexgroup.com/,"Itrex is a global technology consulting and enterprise software development company providing IT consulting and enterprise software solutions. Its industry-specific expertise includes IT solutions for: healthcare & biotech, retail & e-commerce, education, and logistics & transportation.
"
852,Jasper,jasper,,Applications - Horizontal,Text,United States,2018,$125M,https://www.jasper.ai/,"Jasper is an AI content platform that helps teams create content for social media, advertising, articles, emails, websites, and art. The platform enables teams to create high-converting marketing copy, brainstorm new ideas, collaborate, and create content in a wide range of languages. Jasper was formerly known as Proof Technologies. The company was founded in 2018 and is based in Austin, Texas."
768,JIFFY.ai,jiffy.ai,,Applications - Enterprise,Automation & Operations,United States,2012,$71M,https://jiffy.ai/,"JIFFY.ai helps companies automate tasks that are usually performed manually through robotic process automation (RPA).
"
1060,John Deere,john deere,,Applications - Industry,Agriculture,United States,1837,,https://www.deere.com/en/index.html,"John Deere manufactures agricultural, construction, and forestry machinery, diesel engines, drivetrains used in heavy equipment and lawn care equipment. The company supplies replacement parts for its own products and for those of other manufacturers.
"
637,John Snow Labs,john snow labs,,Machine Learning & Artificial Intelligence,Horizontal AI/AGI,United States,2015,,https://www.johnsnowlabs.com/,"John Snow Labs is an AI company that helps healthcare and life science organizations put AI to work faster, providing a high-compliance AI platform, NLP libraries, and data market.
"
1090,Johnson Controls,johnson controls,,Applications - Industry,Industrial & Logistics,United States,1885,,https://www.johnsoncontrols.com/,"Johnson Controls (NYSE: JCI) provides products such as batteries, security, electronics, HVAC equipment, digital solutions, oil and gas solutions, fire safety, and more. It was formerly known as Johnson Service Company. The company was founded in 1885 and is based in Milwaukee, Wisconsin. In September 2016, Johnson Controls was acquired by Tyco. The terms of the transaction were not disclosed."
1207,Julia,julia,,Open Source Infrastructure,Stat Tools & Languages,,,,https://github.com/JuliaLang/julia,"The Julia Programming Language
"
464,Jupyter,jupyter,,Machine Learning & Artificial Intelligence,Data Science Notebooks,,,,https://jupyter.org/,"
"
1293,Jupyter,jupyter,,Open Source Infrastructure,Collaboration,,,,https://github.com/jupyter/notebook,"Jupyter Interactive Notebook
"
934,Kaedim,kaedim,,Applications - Horizontal,Animation & 3D,United Kingdom,2020,,https://www.kaedim3d.com/,"Kaedim develops AI-enabled modeling software that rapidly converts 2D images, sketches, and photos into 3D models. The company aims to make digital 3D asset production simpler, faster, and cheaper. The company serves game development studios. Kaedim was founded in 2020 and is based in London, England."
1190,Kafka,kafka,,Open Source Infrastructure,Streaming & Messaging,,,,https://github.com/apache/kafka,"Mirror of Apache Kafka
"
1323,Kaiko,kaiko,,Data Sources & APIs,Financial & Market Data,France,2014,$82.52M,https://www.kaiko.com/,"Kaiko provides a digital assets market information platform enhancing transparency and operational efficiency for institutional companies, DeFi participants, and Web3 enterprises. The company’s product suite comprises market data, portfolio solutions, rates & indices, pricing services, DeFi data, and research covering digital assets that comprise over 95% of global traded volume. Kaiko was founded in 2014 and is based in Paris, France."
260,Keboola,keboola,,Infrastructure,Fully Managed,Czech Republic,2017,$4.5M,https://www.keboola.com/,"Keboola provides a cloud-based data platform that helps clients combine, enhance and publish crucial information for their internal analytics projects and data products. It offers a flow builder, data catalog, integrations, data science, development branches, and other tools. It primarily caters to eCommerce, financial services, restaurants, retail, car dealership, marketing agencies, and other companies. The company was founded in 2017 and is based in Prague 7, Czech Republic."
1227,Kedro,kedro,,Open Source Infrastructure,AI Frameworks & Libraries,,,,https://github.com/kedro-org/kedro,"A Python framework for creating reproducible, maintainable and modular data science code.
"
631,Keen Technologies,keen technologies,,Machine Learning & Artificial Intelligence,Horizontal AI/AGI,United States,2020,,https://www.insiderintelligence.com/content/startup-keen-technologies-raises-20m-advance-controversial-agi,"Insider Intelligence is a research firm. It specializes in market research, digital media, e-commerce, payments, fintech, mobile apps and platforms, the Internet of Things, and more. It provides a variety of research products with a massive amount of data, forecasts, and insights to equip users with prescriptive analysis and actionable takeaways for better business decisions. The company offers its services to advertising and marketing, consumer demographics, social media, financial services, and other sectors, among others. It was founded in 2020 and is based in New York City, New York."
953,Kensho,kensho,,Applications - Industry,Finance & Insurance,United States,2013,$75.5M,https://kensho.com/,"Kensho is empowering financial institutions with technology that brings transparency to markets. Kensho is pioneering real-time statistical computing systems and scalable analytics architectures-the next generation of improvements to the global financial system. Kensho harnesses massively-parallel statistical computing, user-friendly visual interfaces and breakthroughs in unstructured data engineering and predictive analytics to create the next-generation analytics platform for investment professionals. Addressing the most significant challenges surrounding investment analysis on Wall Street today-achieving speed, scale, and automation of previously human-intensive knowledge work-Kensho's intelligent computer systems are capable of answering complex financial questions posed in plain Engli
"
1243,Keras,keras,,Open Source Infrastructure,AI Frameworks & Libraries,,,,https://github.com/keras-team/keras,"Deep Learning for humans
"
1177,Kestra,kestra,,Open Source Infrastructure,Open Source - Orchestration,,,,https://github.com/kestra-io/kestra,"Kestra is an infinitely scalable orchestration and scheduling platform, creating, running, scheduling, and monitoring millions of complex pipelines.
"
292,Ketch,ketch,,Infrastructure,Privacy & Security,United States,$43M,,https://www.ketch.com/,"Ketch helps organizations satisfy their data privacy and governance through a data control platform.
"
422,Kibana,kibana,,Analytics,Log Analytics,Netherlands,2012,$104M,https://www.elastic.co/kibana/,"Elastic is a search engine based on Lucene. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents.
"
1277,Kibana,kibana,,Open Source Infrastructure,Logging & Monitoring,,,,https://github.com/elastic/kibana,"Your window into the Elastic Stack
"
508,Kili,kili,,Machine Learning & Artificial Intelligence,Data Generation & Labelling,France,2018,$32M,https://kili-technology.com/,"Kili Technology is an image, video, and text annotation tool that speeds up training sets’ annotation. It is based in Paris, France.
"
133,Kinetica,kinetica,,Infrastructure,GPU Databases,United States,2016,$77.4M,https://www.kinetica.com/,"Kinetica, formerly GPUdb, provides a distributed, in-memory database accelerated by GPUs, which delivers real-time actionable intelligence on large, complex and streaming data sets from IoT, transactions and other sources and allows organizations to ingest, explore, analyze and visualize streaming data within milliseconds.
"
170,Kleene,kleene,,Infrastructure,ETL/ELT/Data Transformation,United Kingdom,2017,$15.5M,https://www.kleene.ai/,"Kleene's user interface allows data transformations and modelling to be created and orchestrated with no data engineering required.
"
1351,Klue,klue,,Data Sources & APIs,People/Entities,Canada,2015,$77.62M,https://klue.com/,"Klue's platform combines information from co-workers with bot-collected intel to create battle cards and dynamic dashboards that display competitor activity. Klue collects data and uses AI to surface competitive intelligence for businesses shared into one central location. Users share real-time intel through Klue's battlecards, newsletters, self-serve features, and integrations. Users can also track competitors with website page monitoring, keyword insights, content tracking, and news monitoring.
"
476,Knime,knime,,Machine Learning & Artificial Intelligence,Data Science Platforms,Switzerland,2008,,https://www.knime.com/,"KNIME specializes in data mining, business intelligence, data analysis, data integration, predictive models, statistics, workflow tool, reporting, data science and machine learning. It is based in Zurich, Switzerland.
"
1053,Kodiak Robotics,kodiak robotics,,Applications - Industry,Transportation,United States,2018,$246.4M,https://kodiak.ai/,"Kodiak Robotics develops autonomous technology that carries freight forward. It offers a technology stack that is purpose-built for long-haul trucks, making the freight industry safer and more efficient. Kodiak's modular hardware approach, SensorPods, integrates sensors into a streamlined sensor-pod structure that optimizes for perception, scalability, and maintainability. The company delivers freight daily for its customers along six routes in Texas and Oklahoma, operating autonomously on the highway portions of the routes. Kodiak Robotics was founded in 2018 and is based in Mountain View, California."
1004,Komodo Health,komodo health,,Applications - Industry,Healthcare,United States,2014,$515M,https://www.komodohealth.com/,"Komodo Health operates a healthcare insights platform that brings transparency and market intelligence to healthcare and life sciences. Its platform use tools and brings together data across enterprises, public domain, and proprietary sources, enabling healthcare and life science industries. The company was founded in 2014 and is based in San Francisco, California."
741,Kore.ai,kore.ai,,Applications - Enterprise,Customer Experience,United States,2013,$149.96M,https://kore.ai/,Kore.ai develops a bot-based messaging and conversational AI platform that deploys and manages secure conversational bots across 30 different digital and voice channels.
890,Krea,krea,,Applications - Horizontal,Image,Sweden,,,https://www.krea.ai/,"Krea has developed a service that collects financing offers from most lenders in Sweden and makes it easy to choose the right one.
"
872,Krisp,krisp,,Applications - Horizontal,Audio & Voice,United States,2018,$15.5M,https://krisp.ai/,"Krisp is a software that removes background noises during calls. It filters out background sound from both the speaker's microphone and from the incoming sound on the other end of the call. It integrates with many applications and provides both a mobile and desktop version of the product.
"
1153,KsqlDB,ksqldb,,Open Source Infrastructure,Databases,,,,https://github.com/confluentinc/ksql,"The database purpose-built for stream processing applications.
"
1222,KubeFlow,kubeflow,,Open Source Infrastructure,MLOps & AI Infra,,,,https://github.com/kubeflow/kubeflow,"Machine Learning Toolkit for Kubernetes
"
1117,Kubernetes,kubernetes,,Open Source Infrastructure,Frameworks,,,,https://github.com/kubernetes/kubernetes,"Production-Grade Container Scheduling and Management
"
1384,Kubrick,kubrick,,Data & AI Consulting,Data & AI Consulting,United Kingdom,,,https://www.kubrickgroup.com/us/,"Kubrick is a data consultancy that specializes in data, data engineering, data management, and data products. It is based in London, England.
"
119,KX,kx,,Infrastructure,Real Time Databases,United Kingdom,1993,,https://kx.com/,"Kx Systems provides software solutions that offer tools for the processing of real-time and historical data for trading, research, and smart meter data analysis. Kx offers kdb+, a column-store database with a built-in expressive query and programming language, q.
"
46,Kyligence,kyligence,,Infrastructure,Data Warehouses,United States,2016,$118M,https://kyligence.io/,"Kyligence is an enterprise-level data warehouse product based on a big data platform. The company empowers sub-second query latency on big data and simplifies data analytics for business users, analysts and engineers.
"
337,Kyvos,kyvos,,Analytics,BI Platforms,United States,2015,,https://www.kyvosinsights.com/,"Kyvos is a BI acceleration platform that delivers instant insights on trillions of rows of data, both on the cloud and on-premise data lakes. Using its patented OLAP technology, Kyvos builds a high-performing semantic layer on modern data platforms that enables your existing BI tools to access extremely large datasets with interactive response times and no data movement. This capability allows users across the enterprise to conduct self-service, interactive analysis on data at a massive scale using any BI tool they like.
"
860,Laika,laika,,Applications - Horizontal,Text,Denmark,2022,,https://www.writewithlaika.com/,"LAIKA is a provider of a machine learning solution for writers. Its creativity tool allows users to collaborate with artificial intelligence by providing them with a writing partner they can interact with. LAIKA was founded in 2022 and is based in Copenhagen, Denmark."
623,LAION Open Assistant,laion open assistant,,Machine Learning & Artificial Intelligence,Horizontal AI/AGI,United States,2008,$350M,https://github.com/LAION-AI/Open-Assistant,"GitHub is a social network to share code with friends, co-workers, classmates, and strangers. Users have access to free public repositories, collaborator management, issue tracking, wikis, downloads, code review, graphs and more. The hosted service GitHub.com is free for open source projects and according to much of the developer community, it has helped to improve open source collaboration. On October 26, 2018, GitHub was acquired by Microsoft at a valuation of $7.5B."
1182,LakeFS,lakefs,,Open Source Infrastructure,Data Ops,,,,https://github.com/treeverse/lakeFS,"lakeFS - Data version control for your data lake | Git for data
"
665,Lambda,lambda,,Machine Learning & Artificial Intelligence,GPU Cloud,,,,https://lambdalabs.com/,"
"
1215,Langchain,langchain,,Open Source Infrastructure,MLOps & AI Infra,,,,https://github.com/hwchase17/langchain,"⚡ Building applications with LLMs through composability ⚡
"
760,Lattice,lattice,,Applications - Enterprise,Human Capital,United States,2015,$329.32M,https://lattice.com/,"Lattice is a performance management solution for growing companies, aimed at increasing employee retention. Lattice's products are designed to help mid-market customers with goal OKR management, performance reviews, employee feedback and manager-employee conversations. The product covers the full breadth of a performance management cycle.
"
692,Lavender,lavender,,Applications - Enterprise,Sales,United States,2020,$13.2M,https://www.trylavender.com/,"Lavender develops an AI email assistant to help produce better-selling emails in a shorter amount of time. Its email assistant tool suggests new sentences and ways to make emails impactful. It combines AI recommendations and reply optimization with additional tools, such as gifs, spelling, grammar, spam check, subject line analysis, and prospect and company research, enabling salespersons to write efficient business emails. The company was founded in 2020 and is based in New York, New York."
972,LeanTaas,leantaas,,Applications - Industry,Healthcare,United States,2010,$224.44M,https://leantaas.com/,"LeanTaaS provides software solutions that combine lean principles, predictive analytics, and machine learning for core operational processes in hospital and infusion center operations. LeanTaaS increases patient access, decreases wait times, improves staff satisfaction, reduces healthcare delivery costs, and improves operational performance. The company was founded in 2010 and is based in Santa Clara, California."
1405,LeewayHertz,leewayhertz,,Data & AI Consulting,Data & AI Consulting,United States,2007,,https://www.leewayhertz.com/,"LeewayHeartz a custom software development company, we have expertise in delivering digital platforms within time deadlines and fixed cost. Having a team of experienced blockchain developers, the company develops blockchain-based applications on Ethereum, Hyperledger, and Hashgraph.
"
1391,Leit Data,leit data,,Data & AI Consulting,Data & AI Consulting,,,,https://www.leit-data.com/,
963,Lemonade,lemonade,,Applications - Industry,Finance & Insurance,United States,2015,$480M,https://www.lemonade.com/,"Lemonade (NYSE: LMND) provides digital and artificial intelligence based platform for various insurances and for settling claims and paying premiums. The platform ensures transparency in issuing policies and settling disputes. Its products include Life insurance, Car insurance, Renter's insurance, Homeowner's insurance, Pet insurance, and The Lemonade Giveback. The company was founded in 2015 and is based in New York, New York."
896,Lets Enhance.io,lets enhance.io,,Applications - Horizontal,Image,United States,2017,$3.12M,https://letsenhance.io/,"Let's Enhance is a machine-learning solution for visual content. It offers neural networks to automatically remove noise from JPEGs, upscale 4x, and add missing details to make images look natural."
769,Levity AI,levity ai,,Applications - Enterprise,Automation & Operations,,,,https://levity.ai/,
901,Lexica,lexica,,Applications - Horizontal,Image,United States,2022,,https://lexica.art/,"Lexica is a stable diffusion search engine. It offers search for artificial intelligence (AI) generated images and prompts. It was founded in 2022 and is based in San Francisco, California."
375,Lido,lido,,Analytics,Data Analyst Platforms,United States,2018,,https://www.lido.app/,"Lido is a provider of a no-code data integration platform. The platform enables enterprises to integrate all enterprise data, such as custom databases, customer service, market research, social media, web analytics, e-commerce and sales, and more, into one platform. It was founded in 2018 and is based in New York City, New York."
333,Lightdash,lightdash,,Analytics,BI Platforms,United States,2020,$8.53M,https://www.lightdash.com/,"Lightdash provides an open-sourced business intelligence (BI) platform for analysts to write metrics. It enables self-serve for the entire business and offers a developer-friendly BI platform with popular data insights warehouse integrations. The company was founded in 2020 and is based in San Francisco, California."
245,Lightup,lightup,,Infrastructure,Data Quality & Observability,United States,2019,$4.75M,https://www.lightup.ai/,"Lightup enables data-driven businesses to achieve their full potential. The platform allows businesses the ability to continuously measure the performance of their data-driven operations at fine granularity across the entire pipeline. Lightup is enabling businesses to continuously track vitals of their data-driven operations at the finest granularity, catch problems before their customers do, and fix them before they impact the business.
"
593,Lilt,lilt,,Machine Learning & Artificial Intelligence,NLP,United States,2015,$92.5M,https://lilt.com/,"Lilt provides interactive and adaptive machine-assisted translation tools. Translators can translate documents via a web-based CAT tool. Localization providers can integrate Lilt into their existing systems via a web API. It was founded in 2015 and is based in Portola Valley, California."
